date,title,comments
2022-07-28,"Nossa União, Muita Confusão",
2022-07-29,Shrek 2 ,"exibição às 16h, após Espiadinha Globoplay"
2022-08-01,Pixels,
2022-08-02,A Última Música,
2022-08-03,Paixão de Aluguel,
2022-08-04,Pegando Fogo,
2022-08-05,Uma Dobra no Tempo,
2022-08-08,Meu Malvado Favorito 2 ,inédito na TV Globo; ex-RecordTV
2022-08-09,Sob o Sol de Toscana,
2022-08-10,A Sogra,
2022-08-11,Questão de Tempo,
2022-08-12,"Meu Pai, Meu Herói",
2022-08-15,O Sétimo Filho,
2022-08-16,Quase Lendas ,inédito em TV Aberta
2022-08-17,Ratatouille,
2022-08-18,A Vingança das Damas de Honra,
2022-08-19,Simplesmente Complicado,
2022-08-22,Malasartes e o Duelo com a Morte,
2022-08-23,A Minha Garota Para Sempre ,inédito em TV Aberta
2022-08-24,Insubstituível,
2022-08-25,Os Incríveis,
2022-08-26,"Fala Sério, Mãe!",
2022-08-29,Acampamento do Papai,
2022-08-30,Uma Razão Para Recomeçar,
2022-08-31,Muito Bem Acompanhada,
2022-09-01,O Medalhão,
2022-09-02,É Fada ,reclassificado para 12 anos
2022-09-05,Trolls,
2022-09-06,Ensinando a Viver,
2022-09-07,R.I.P.D: Agentes do Além,
2022-09-08,"Ela Disse, Ele Disse  ",2019
2022-09-09,Viagem Ao Centro Da Terra: O Filme,
2022-09-12,Gente Grande,
2022-09-13,Madagascar 3: Os Procurados,
2022-09-14,O Que Esperar Quando Você Está Esperando,
2022-09-15,Tudo Que Quero,
2022-09-16,Sai de Baixo: O Filme,
2022-09-19,O Bicho Vai Pegar 4,
2022-09-20,As Mil Palavras,
2022-09-21,O Falcão Manteiga de Amendoim,
2022-09-22,Linda de Morrer,
2022-09-23,Não Houve Exibição - Amistoso da Seleção: Brasil x Gana,
2022-09-26,Falando Grego,
2022-09-27,Não Houve Exibição - Amistoso da Seleção: Brasil x Tunísia,
2022-09-28,Quando em Roma,
2022-09-29,Crô em Família,
2022-09-30,Click ,término da exibição após O Cravo e a Rosa
2022-10-03,O Diabo Veste Prada ,início da exibição após Chocolate com Pimenta
2022-10-04,Quatro Vidas de um Cachorro,
2022-10-05,Sim Senhor,
2022-10-06,Onde Nasce a Esperança,
2022-10-07,A Hora do Rush 2,
2022-10-10,Nanny McPhee e as Lições Mágicas,
2022-10-11,Max: O Cão Herói ,inédito em TV aberta
2022-10-12,Os Smurfs ,2011
2022-10-13,Uma Amizade Inesperada,
2022-10-14,Bilhete de Loteria,
2022-10-17,A Volta do Todo Poderoso,
2022-10-18,Um Amor à Altura,
2022-10-19,De Repente Pai,
2022-10-20,Uma Aventura e Tanto,
2022-10-21,Como Se Fosse a Primeira Vez,
2022-10-24,Os Delírios de Consumo de Becky Bloom,
2022-10-25,Que Haja Luz,
2022-10-26,O Melhor Amigo da Noiva,
2022-10-27,A Morte e Vida de Charlie,
2022-10-28,Shrek ,retorno à TV Globo; ex-Band e SBT
2022-10-31,Uma Noite no Museu,
2022-11-01,O Sol Também é uma Estrela ,inédito em TV aberta
2022-11-02,Kung Fu Panda 2,
2022-11-03,Snowden: Herói ou Traidor,
2022-11-04,O Bom Filho à Casa Torna,
2022-11-07,Jornada da Vida ,inédito em TV aberta
2022-11-08,De Repente 30,
2022-11-09,Uma Questão de Fé,
2022-11-10,Depois da Terra,
2022-11-11,Não Houve Exibição - Amistoso da Seleção Feminina: Brasil x Canadá,
2022-11-14,Bem-Vindo Doutor ,inédito em TV aberta
2022-11-15,Não Houve Exibição - Amistoso da Seleção Feminina: Brasil x Canadá,
2022-11-16,A Luta Por um Ideal ,2012
2022-11-17,Encantada,
2022-11-18,Correndo Atrás  ,2018
2022-11-21,Não Houve Exibição - Copa do Mundo 2022,
2022-11-22,Não Houve Exibição - Copa do Mundo 2022,
2022-11-23,Não Houve Exibição - Copa do Mundo 2022,
2022-11-24,Não Houve Exibição - Copa do Mundo 2022,
2022-11-25,Não Houve Exibição - Copa do Mundo 2022,
2022-11-28,Não Houve Exibição - Copa do Mundo 2022,
2022-11-29,Não Houve Exibição - Copa do Mundo 2022,
2022-11-30,Não Houve Exibição - Copa do Mundo 2022,
2022-12-01,Não Houve Exibição - Copa do Mundo 2022,
2022-12-02,Não Houve Exibição - Copa do Mundo 2022,
2022-12-05,Não Houve Exibição - Copa do Mundo 2022,
2022-12-06,Não Houve Exibição - Copa do Mundo 2022,
2022-12-07,Patrick,
2022-12-08,Um Santo Vizinho,
2022-12-09,Não Houve Exibição - Copa do Mundo 2022,
2022-12-12,Megan Leavey ,exibição às 16h
2022-12-13,Não Houve Exibição - Copa do Mundo 2022,
2022-12-14,Não Houve Exibição - Copa do Mundo 2022,
2022-12-15,Need For Speed: O Filme ,retorno da exibição regular / término da pausa temporária
2022-12-16,O Futebol Ou Eu ,inédito em TV aberta
2022-12-19,A Era do Gelo: O Big Bang,
2022-12-20,Tudo em Família,
2022-12-21,O Bom Doutor   ,2019
2022-12-22,Surpresas do Amor,
2022-12-23,Um Natal Quase Perfeito ,inédito em TV aberta / exceto para as afiliadas do Nordeste - Especial 110 Anos Gonzaga
2022-12-26,PéPequeno,
2022-12-27,Nossa Vida com Cães,
2022-12-28,Idas e Vindas do Amor,
2022-12-29,Jumper ,"exibição interrompida devido a cobertura da morte do Rei Pelé, intitulada Rei 10 Eterno"
2022-12-30,Noite de Ano Novo,
2021-01-01,Percy Jackson e o Ladrão de Raios,
2021-01-04,Pai em Dose Dupla,
2021-01-05,Turma da Mônica: Laços ,inédito em TV aberta
2021-01-06,Hotel Transilvânia 2,
2021-01-07,O Diário da Princesa,
2021-01-08,Stardust: O Mistério da Estrela,
2021-01-11,Férias da Família Johnson,
2021-01-12,Os Pinguins do Papai,
2021-01-13,Shrek 2,
2021-01-14,Sonhos de Papel,
2021-01-15,Miss Simpatia,
2021-01-18,Enrolados,
2021-01-19,Super Escola de Heróis,
2021-01-20,Rio 2,
2021-01-21,Virada Radical,
2021-01-22,As Viagens de Gulliver,
2021-01-25,Operação Big Hero,
2021-01-26,Nanny McPhee e as Lições Mágicas,
2021-01-27,Jogador Nº 1,
2021-01-28,Gente Grande 2,
2021-01-29,Os Smurfs 2,
2021-02-01,Tudo Por um Popstar,
2021-02-02,Megamente,
2021-02-03,MIB: Homens de Preto 2,
2021-02-04,Cegonhas: A História Que Não Te Contaram,
2021-02-05,Bater ou Correr,
2021-02-08,Monstros Vs. Alienígenas,
2021-02-09,É Fada ,inédito em TV Aberta
2021-02-10,Fora do Rumo,
2021-02-11,Patrick ,inédito em TV aberta
2021-02-12,Tá Chovendo Hambúrguer 2,
2021-02-15,Procurando Nemo,
2021-02-16,As Férias do Pequeno Nicolau,
2021-02-17,Alice Através do Espelho  ,2016
2021-02-18,Um Tira no Jardim de Infância 2,
2021-02-19,Casamento Grego 2,
2021-02-22,Incontrolável,
2021-02-23,Amor ao Acaso ,inédito em TV aberta
2021-02-24,Um Senhor Estagiário,
2021-02-25,Quarteto Fantástico ,2005
2021-02-26,Muito Bem Acompanhada ,inédito na Globo; ex-Band
2021-03-01,Quatro Vidas de um Cachorro,
2021-03-02,Em Meus Sonhos,
2021-03-03,"Dois é Bom, Três é Demais",
2021-03-04,O Túnel ,2016
2021-03-05,Jogo de Amor em Las Vegas,
2021-03-08,Joy: O Nome do Sucesso,
2021-03-09,Roubo nas Alturas,
2021-03-10,Romeu e Julieta  ,2013
2021-03-11,Sem Reservas,
2021-03-12,Amor ao Primeiro Filho,
2021-03-15,Uma Prova de Amor,
2021-03-16,Portal dos Guerreiros ,inédito em TV aberta
2021-03-17,Megan Leavey ,inédito em TV aberta
2021-03-18,"Corina, uma Babá Perfeita",
2021-03-19,Encontro de Casais,
2021-03-22,O Melhor Amigo da Noiva,
2021-03-23,A Última Palavra  ,2017
