date,title,comments,id,english_title,release_date,vote_average
2022-04-05,Um Perfil Para Dois,(inédito em TV aberta),434273,Mr. Stein Goes Online,2017-02-17,6.0
2022-04-20,D.P.A.: Detetives do Prédio Azul 2 - O Mistério Italiano,(Inédito em TV aberta),558394,D.P.A. 2: O Filme - O Mistério Italiano,2018-12-20,7.7
2022-02-02,Sob o Sol da Toscana,(exceto para o RS - Vale a Pena Ver de Novo e transmissão do Campeonato Gaúcho: Grêmio x São José),10934,Under the Tuscan Sun,2003-09-20,6.835
2022-05-19,Um Tio Quase Perfeito 2,(inédito em TV aberta),784117,Um Tio Quase Perfeito 2,2021-01-07,6.1
2022-03-22,Plano B,,293451,Plano B,2014-04-21,8.0
2022-05-31,Juntos A Magia Acontece,"(reprise do Especial de Natal de 2019 em homenagem póstuma ao ator Milton Gonçalves, falecido no dia anterior)",658085,Juntos a Magia Acontece,2019-12-25,6.4
2022-06-15,A Seleção,,472218,#prasemprefenomeno: A Despedida da Seleção,,0.0
2022-06-10,Talvez uma História de Amor,(Inédito em TV aberta),492826,Maybe a Love Story,2018-06-14,6.5
2022-03-28,Sem Palavras,(inédito em TV aberta),676678,Sem Palavras,2009-05-10,0.0
2022-03-25,As Loucuras de Dick e Jane,,7552,Fun with Dick and Jane,2005-12-21,6.194
2022-06-24,A Bússola de Ouro,"(exibição às 16h, após Amistoso da Seleção Feminina: Brasil x Dinamarca)",2268,The Golden Compass,2007-12-04,6.041
2022-06-28,"Eu, Robô","(exibição às 15h30, após Amistoso da Seleção Feminina: Brasil x Suécia)",817812,Eu Não Sou um Robô,2021-04-10,0.0
2022-05-16,Meu Malvado Favorito,(inédito na TV Globo; ex-RecordTV),20352,Despicable Me,2010-07-08,7.225
2022-06-27,Divórcio,,451409,Divórcio,2017-09-21,7.2
2022-06-30,Bem-Vindo à Vida,,1086795,The Musical: Welcome To The Night Of Your Life!,2023-03-22,2.0
2022-07-01,Uma Família em Apuros,,24476,Beethoven's 3rd,2000-09-07,5.123
2022-07-05,Turma da Mónica: Laços,,459670,Monica and Friends: Bonds,2019-06-27,7.6
2022-07-04,A Pantera Cor-de-Rosa 2,,11843,The Return of the Pink Panther,1975-05-21,6.818
2022-07-07,Os Estagiários,,55922,Intern Academy,2004-05-16,5.2
2022-07-06,Nossa Vida com Cães,,477510,Dog Days,2018-08-10,6.75
2022-07-11,Procurando Nemo,,12,Finding Nemo,2003-05-30,7.823
2022-07-12,Um Presente Para Helen,,4599,Raising Helen,2004-05-27,6.12
2022-07-13,Férias da Família Johnson,,19084,Johnson Family Vacation,2004-04-07,5.473
2022-07-08,Kung Fu Panda 3,,140300,Kung Fu Panda 3,2016-01-23,6.873
2022-07-14,Mamãe Saiu de Férias,,590529,Mom Went On Vacation,2019-09-13,6.5
2022-07-18,Miss Simpatia 2: Armada e Poderosa,(início da temporada da Sessão da Tarde de Férias),10040,Miss Congeniality 2: Armed and Fabulous,2005-03-11,5.74
2022-07-15,Megamente,,38055,Megamind,2010-10-28,6.956
2022-07-20,A Fabulosa Gilly Hopkins,,331588,The Great Gilly Hopkins,2015-10-05,6.6
2022-07-25,Sem Reservas,,3638,No Reservations,2007-06-15,6.542
2022-07-21,A Nova Cinderela,,407655,A Cinderella Story: If the Shoe Fits,2016-08-02,7.22
2022-08-04,Pegando Fogo,,415886,Home Fires Burning,1989-01-29,6.2
2022-07-27,As Férias da Minha Vida,,17379,Last Holiday,2006-01-13,7.087
2022-08-09,Sob o Sol de Toscana,,10934,Under the Tuscan Sun,2003-09-20,6.835
2022-07-28,"Nossa União, Muita Confusão",,34563,Our Family Wedding,2010-03-12,5.7
2022-08-03,Paixão de Aluguel,,15648,The Perfect Man,2005-06-17,6.061
2022-08-05,Uma Dobra no Tempo,,407451,A Wrinkle in Time,2018-03-08,5.106
2022-08-02,A Última Música,,1047940,Milton Nascimento: A Última Sessão de Música,2022-11-13,0.0
2022-07-29,Shrek 2,"(exibição às 16h, após Espiadinha Globoplay)",809,Shrek 2,2004-05-19,7.24
2022-07-22,Rio 2,(término da temporada da Sessão da Tarde de Férias),172385,Rio 2,2014-03-19,6.483
2022-08-01,Pixels,,257344,Pixels,2015-07-16,5.715
