data,title,comments,year
08/12,Um Santo Vizinho,,2022
09/12,Não Houve Exibição - Copa do Mundo 2022,,2022
12/12,Megan Leavey ,(exibição às 16h),2022
13/12,Não Houve Exibição - Copa do Mundo 2022,,2022
14/12,Não Houve Exibição - Copa do Mundo 2022,,2022
15/12,Need For Speed: O Filme ,(retorno da exibição regular / término da pausa temporária),2022
16/12,O Futebol Ou Eu ,(inédito em TV aberta),2022
19/12,A Era do Gelo: O Big Bang,,2022
20/12,Tudo em Família,,2022
21/12,O Bom Doutor  (2019) ,(inédito em TV aberta / exceto para SP - Campeonato Paulista de Futebol Feminino: Palmeiras x Santos),2022
22/12,Surpresas do Amor,,2022
23/12,Um Natal Quase Perfeito ,(inédito em TV aberta / exceto para as afiliadas do Nordeste - Especial 110 Anos Gonzaga),2022
26/12,PéPequeno,,2022
27/12,Nossa Vida com Cães,,2022
28/12,Idas e Vindas do Amor,,2022
29/12,Jumper ,"(exibição interrompida devido a cobertura da morte do Rei Pelé, intitulada Rei 10 Eterno)",2022
30/12,Noite de Ano Novo,,2022
01/01,Percy Jackson e o Ladrão de Raios,,2021
04/01,Pai em Dose Dupla,,2021
05/01,Turma da Mônica: Laços ,(inédito em TV aberta),2021
06/01,Hotel Transilvânia 2,,2021
07/01,O Diário da Princesa,,2021
08/01,Stardust: O Mistério da Estrela,,2021
11/01,Férias da Família Johnson,,2021
12/01,Os Pinguins do Papai,,2021
13/01,Shrek 2,,2021
14/01,Sonhos de Papel,,2021
15/01,Miss Simpatia,,2021
18/01,Enrolados,,2021
19/01,Super Escola de Heróis,,2021
20/01,Rio 2,,2021
21/01,Virada Radical,,2021
22/01,As Viagens de Gulliver,,2021
25/01,Operação Big Hero,,2021
26/01,Nanny McPhee e as Lições Mágicas,,2021
27/01,Jogador Nº 1,,2021
28/01,Gente Grande 2,,2021
29/01,Os Smurfs 2,,2021
01/02,Tudo Por um Popstar,,2021
02/02,Megamente,,2021
03/02,MIB: Homens de Preto 2,,2021
04/02,Cegonhas: A História Que Não Te Contaram,,2021
05/02,Bater ou Correr,,2021
08/02,Monstros Vs. Alienígenas,,2021
09/02,É Fada ,(inédito em TV Aberta),2021
10/02,Fora do Rumo,,2021
11/02,Patrick ,(inédito em TV aberta),2021
12/02,Tá Chovendo Hambúrguer 2,,2021
15/02,Procurando Nemo,,2021
16/02,As Férias do Pequeno Nicolau,,2021
17/02,Alice Através do Espelho (2016) ,(exceto para GO - Vale a Pena Ver de Novo e transmissão do Campeonato Goiano: Atlético-GO x Aparecidense),2021
18/02,Um Tira no Jardim de Infância 2,,2021
19/02,Casamento Grego 2,,2021
22/02,Incontrolável,,2021
23/02,Amor ao Acaso ,(inédito em TV aberta),2021
24/02,Um Senhor Estagiário,,2021
25/02,Quarteto Fantástico (2005),,2021
26/02,Muito Bem Acompanhada ,(inédito na Globo; ex-Band),2021
01/03,Quatro Vidas de um Cachorro,,2021
02/03,Em Meus Sonhos,,2021
03/03,"Dois é Bom, Três é Demais",,2021
04/03,O Túnel (2016),,2021
05/03,Jogo de Amor em Las Vegas,,2021
08/03,Joy: O Nome do Sucesso,,2021
09/03,Roubo nas Alturas,,2021
10/03,Romeu e Julieta (2013) ,(inédito em TV aberta),2021
11/03,Sem Reservas,,2021
12/03,Amor ao Primeiro Filho,,2021
15/03,Uma Prova de Amor,,2021
16/03,Portal dos Guerreiros ,(inédito em TV aberta),2021
17/03,Megan Leavey ,(inédito em TV aberta),2021
18/03,"Corina, uma Babá Perfeita",,2021
19/03,Encontro de Casais,,2021
22/03,O Melhor Amigo da Noiva,,2021
23/03,A Última Palavra (2017) ,(inédito em TV aberta),2021
24/03,Hitch: Conselheiro Amoroso,,2021
25/03,O Último Mestre do Ar,,2021
26/03,Arthur: O Milionário Irresistível ,(inédito na Globo; ex-SBT),2021
29/03,O Que Esperar Quando Você Está Esperando,,2021
30/03,A Fabulosa Gilly Hopkins ,(inédito em TV aberta),2021
31/03,O Dilema,,2021
01/04,A Ressurreição de Gavin Stone ,(inédito em TV aberta),2021
02/04,Shrek Para Sempre,,2021
05/04,Vovó... Zona 2 ,"(em novo horário, após o Plantão BBB)",2021
06/04,Um Bom Partido,,2021
07/04,Táxi (2004),,2021
08/04,Onde Nasce a Esperança,,2021
09/04,Lara Croft: Tomb Raider - A Origem da Vida ,(reclassificado para 12 anos),2021
12/04,"Intocáveis | Meu Pai, Meu Herói ",(somente para o ES),2021
13/04,Licença Para Casar,,2021
14/04,Mãos Talentosas: A História de Ben Carson,,2021
15/04,Uma Manhã Gloriosa,,2021
16/04,Bater ou Correr em Londres,,2021
19/04,Sully: O Herói do Rio Hudson,,2021
20/04,Brooklin: Um Amor Sem Fronteiras ,(inédito em TV aberta),2021
21/04,Toy Story 3,,2021
22/04,Jurassic Park: Parque dos Dinossauros ,(reclassificado para 12 anos),2021
23/04,A Teoria de Tudo,,2021
26/04,Crô em Família,,2021
27/04,A Feiticeira (2005),,2021
28/04,Beleza Oculta,,2021
29/04,A Sogra,,2021
30/04,O Aprendiz de Feiticeiro,,2021
03/05,O Medalhão,,2021
04/05,"Loucas Por Amor, Viciadas em Dinheiro ",(término da exibição após o Plantão BBB),2021
05/05,X-Men: Primeira Classe ,(retorno da exibição após o Jornal Hoje),2021
06/05,Tá Chovendo Hambúrger,,2021
07/05,Linda de Morrer,,2021
10/05,Paixão de Aluguel,,2021
11/05,O Impossível ,"(exceto para SP, PR, ES, TO, MT, BA, SE, AL, PB, RN, CE, PI, MA, PA, AM, RO, AC, RR, AP, DF e Resende-RJ - Vale a Pena Ver de Novo e transmissão do Campeonato Paulista: Corinthians x Inter de Limeira)",2021
12/05,Meu Namorado é o Bicho,,2021
13/05,Idas e Vindas do Amor,,2021
14/05,Viagem ao Centro da Terra: O Filme,,2021
17/05,Invictus ,(inédito na Globo; ex-SBT),2021
18/05,A Vingança das Damas de Honra,,2021
19/05,Encontro de Amor,,2021
20/05,Um Homem de Família (2016),,2021
21/05,Entrando Numa Fria Maior Ainda,,2021
24/05,Noites de Tormenta,,2021
25/05,Lanterna Verde ,(reclassificado para 14 anos),2021
26/05,Fazenda dos Cisnes ,(exceto para SC - Vale a Pena Ver de Novo e transmissão da final do Campeonato Catarinense: Chapecoense x Avaí),2021
27/05,O Amor Dá Trabalho ,(inédito em TV aberta),2021
28/05,Resgate Abaixo de Zero,,2021
31/05,A Morte e Vida de Charlie ,(inédito em TV aberta),2021
01/06,Pare o Casamento!,,2021
02/06,Uma Amizade Inesperada,,2021
03/06,Depois da Terra,,2021
04/06,Maria do Caritó ,(inédito em TV aberta),2021
07/06,Uma Boa Ação,,2021
